x;y;ST10;ST10M;ST20;ST20M;STDEV
1;4,941576164;6,060698739;4,810768821;6,611671352;5,248111441;0,568149963
2;3,009232033;3,935120196;2,685190277;4,292858396;2,929298484;0,568149963
3;4,981420118;6,104527089;4,854597171;6,659484097;5,295924186;0,568149963
4;4,664802258;5,756247443;4,506317524;6,279542665;4,915982754;0,568149963
5;4,499033428;5,57390173;4,323971811;6,080620069;4,717060158;0,568149963
6;3,545964492;4,5255259;3,275595982;4,936937346;3,573377435;0,568149963
7;4,435293719;5,50378805;4,253858131;6,004132418;4,640572507;0,568149963
8;3,556149677;4,536729604;3,286799686;4,949159568;3,585599657;0,568149963
9;3,823577346;4,83090004;3,580970122;5,270072771;3,90651286;0,568149963
10;4,16088588;5,201939427;3,952009508;5,674843011;4,3112831;0,568149963
11;4,556733498;5,637371807;4,387441889;6,149860154;4,786300242;0,568149963
12;4,168000882;5,20976593;3,959836011;5,683381015;4,319821103;0,568149963
13;3,431902596;4,400057815;3,150127897;4,800063071;3,43650316;0,568149963
14;4,3693893;5,431293189;4,18136327;5,925047115;4,561487204;0,568149963
15;4,675036391;5,76750499;4,517575071;6,291823625;4,928263714;0,568149963
16;4,474028385;5,546396183;4,296466264;6,050614017;4,687054106;0,568149963
17;4,352865382;5,41311688;4,163186961;5,905218414;4,541658503;0,568149963
18;3,599460898;4,584371947;3,334442028;5,001133033;3,637573122;0,568149963
19;3,292442388;4,246651586;2,996721667;4,632710821;3,26915091;0,568149963
20;4,47417622;5,546558801;4,296628883;6,050791419;4,687231508;0,568149963
21;3,437386577;4,406090194;3,156160275;4,806643848;3,443083936;0,568149963
22;4,60609199;5,691666148;4,44173623;6,209090343;4,845530432;0,568149963
23;4,946124565;6,06570198;4,815772062;6,617129433;5,253569522;0,568149963
24;4,664758656;5,756199481;4,506269562;6,279490343;4,915930432;0,568149963
25;4,665967477;5,757529184;4,507599266;6,280940928;4,917381017;0,568149963
26;3,780238116;4,783226887;3,533296968;5,218065695;3,854505784;0,568149963
27;3,473095155;4,44536963;3,195439712;4,849494142;3,485934231;0,568149963
28;3,211715986;4,157852544;2,907922625;4,535839139;3,172279227;0,568149963
29;4,389743833;5,453683175;4,203753257;5,949472555;4,585912644;0,568149963
30;4,764092011;5,865466171;4,615536253;6,398690368;5,035130457;0,568149963
31;3,011605487;3,937730994;2,687801076;4,295706539;2,932146628;0,568149963
32;3,509264966;4,485156422;3,235226503;4,892897915;3,529338004;0,568149963
33;3,814032474;4,820400681;3,570470763;5,258618925;3,895059014;0,568149963
34;3,130161742;4,068142875;2,818212957;4,437974046;3,074414135;0,568149963
35;3,484377968;4,457780724;3,207850805;4,863033517;3,499473606;0,568149963
36;4,437588672;5,506312498;4,25638258;6,006886361;4,64332645;0,568149963
37;3,036518646;3,96513547;2,715205552;4,325602331;2,96204242;0,568149963
38;4,652642146;5,742871319;4,492941401;6,26495053;4,901390619;0,568149963
39;3,769578259;4,771501044;3,521571125;5,205273866;3,841713955;0,568149963
40;3,200929366;4,145987262;2,896057343;4,522895194;3,159335283;0,568149963
41;3,962008323;4,983174115;3,733244197;5,436189944;4,072630033;0,568149963
42;3,916043364;4,93261266;3,682682742;5,381031993;4,017472082;0,568149963
43;3,340266254;4,299257839;3,049327921;4,690099461;3,32653955;0,568149963
44;4,894147211;6,008526891;4,758596973;6,554756609;5,191196697;0,568149963
45;3,810396415;4,816401016;3,566471097;5,254255654;3,890695742;0,568149963
46;3,952504387;4,972719785;3,722789867;5,42478522;4,061225309;0,568149963
47;4,657267845;5,747959589;4,498029671;6,27050137;4,906941459;0,568149963
48;3,723040162;4,720309137;3,470379219;5,14942815;3,785868239;0,568149963
49;3,717276694;4,713969323;3,464039404;5,142511988;3,778952077;0,568149963
50;3,213828233;4,160176015;2,910246097;4,538373835;3,174813923;0,568149963
51;4,930985773;6,04904931;4,799119391;6,598962883;5,235402972;0,568149963
52;4,212879978;5,259132935;4,009203017;5,737235929;4,373676018;0,568149963
53;3,973297467;4,995592173;3,745662254;5,449736916;4,086177005;0,568149963
54;3,385851972;4,349402129;3,09947221;4,744802322;3,381242411;0,568149963
55;3,991314166;5,015410542;3,765480623;5,471356955;4,107797044;0,568149963
56;4,565637639;5,647166362;4,397236443;6,160545122;4,796985211;0,568149963
57;4,068868885;5,100720732;3,850790814;5,564422617;4,200862706;0,568149963
58;4,900175522;6,015158033;4,765228115;6,561990582;5,198430671;0,568149963
59;4,189593043;5,233517306;3,983587388;5,709291607;4,345731696;0,568149963
60;4,362026716;5,423194347;4,173264428;5,916212015;4,552652103;0,568149963
61;4,841344296;5,950443685;4,700513766;6,491393111;5,127833199;0,568149963
